Number of buckets, Update linear, Percentile linear, Mixed linear, Update exponential, Percentile exponential, Mixed exponential, Update custom, Percentile custom, Mixed custom, Update all, Percentile all, Mixed all\n
4200, 0.495564, 0.028431, 0.477590, 8.943056, 0.026529, 8.033415, 0.977434, 0.032196, 0.935576, 3.479840, 0.004841, 3.070463 
4250, 0.502285, 0.028109, 0.480790, 8.993405, 0.026888, 8.201923, 0.864970, 0.156945, 0.821064, 3.497679, 0.004942, 3.207455 
4300, 0.506437, 0.154513, 0.361234, 9.254740, 0.152124, 8.097003, 1.149768, 0.032028, 0.956244, 3.525600, 0.004794, 3.230175 
4350, 0.511523, 0.028253, 0.492648, 9.224937, 0.026808, 8.273069, 1.137057, 0.032254, 0.965946, 3.575209, 0.004846, 3.249371 
4400, 0.518589, 0.028476, 0.497084, 9.489579, 0.026675, 8.445451, 1.024703, 0.033147, 0.978189, 3.724626, 0.004825, 3.273567 
4450, 0.524108, 0.153842, 0.502761, 9.328682, 0.151975, 8.364657, 1.160712, 0.032383, 0.989198, 3.722308, 0.004965, 3.322385 
4500, 0.529950, 0.028929, 0.509582, 9.712749, 0.026811, 8.533116, 1.170599, 0.033087, 0.999077, 3.743498, 0.004847, 3.467466 
4550, 0.535435, 0.153769, 0.512827, 9.558321, 0.027283, 8.705876, 1.057960, 0.158436, 1.006448, 3.767440, 0.004823, 3.486572 
4600, 0.672470, 0.028632, 0.520730, 10.045421, 0.152491, 9.018022, 1.073720, 0.158045, 1.020185, 3.785537, 0.004877, 3.511773 
4650, 0.546896, 0.028657, 0.526688, 9.911989, 0.026694, 8.804607, 1.207107, 0.033344, 1.028805, 3.939716, 0.004785, 3.523668 
4700, 0.557229, 0.028656, 0.528943, 9.961930, 0.026710, 9.210979, 1.221915, 0.033294, 1.041617, 3.971255, 0.004840, 3.680395 
4750, 0.684475, 0.028572, 0.537619, 10.022693, 0.026775, 9.146144, 1.106668, 0.158455, 1.056502, 3.991364, 0.004757, 3.701856 
4800, 0.694065, 0.029226, 0.541043, 10.200508, 0.026328, 9.205633, 1.244715, 0.033164, 1.064157, 4.138683, 0.004897, 3.601135 
4850, 0.574386, 0.153852, 0.546325, 10.262853, 0.026761, 15.201182, 2.251582, 0.261762, 2.286840, 6.699395, 0.006884, 4.957037 
4900, 1.022696, 0.169627, 0.841378, 13.972992, 0.026866, 13.954085, 1.269555, 0.033630, 1.443216, 4.238964, 0.005371, 3.743185 
4950, 0.712591, 0.040743, 0.694592, 10.512826, 0.026879, 9.674627, 1.283188, 0.033671, 1.223902, 4.081505, 0.130308, 3.757275 
5000, 0.718039, 0.029016, 0.564867, 10.682872, 0.026906, 9.522069, 1.422900, 0.033662, 1.237985, 4.237746, 0.004849, 3.805755 
